season,date_code,weekending,region,Influenza_Category,Count
2009-2010,200940,10/4/2009,Northern,Influenza_ANotSubtyped,53
2009-2010,200940,10/4/2009,Northern,Influenza_B,0
2009-2010,200940,10/4/2009,Northern,Influenza_Total,53
2009-2010,200940,10/4/2009,Northern,Influenza_Tested,111
2009-2010,200940,10/4/2009,Upper Southern,Influenza_A,118
2009-2010,200940,10/4/2009,Upper Southern,Influenza_AH3,0
2009-2010,200940,10/4/2009,Upper Southern,Influenza_AH1,0
2009-2010,200940,10/4/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200940,10/4/2009,Upper Southern,Influenza_ANotSubtyped,118
2009-2010,200940,10/4/2009,Upper Southern,Influenza_B,0
2009-2010,200940,10/4/2009,Upper Southern,Influenza_Total,118
2009-2010,200940,10/4/2009,Upper Southern,Influenza_Tested,193
2009-2010,200941,10/11/2009,Bay Area,Influenza_A,81
2009-2010,200941,10/11/2009,Bay Area,Influenza_AH3,0
2009-2010,200941,10/11/2009,Bay Area,Influenza_AH1,0
2009-2010,200941,10/11/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200941,10/11/2009,Bay Area,Influenza_ANotSubtyped,81
2009-2010,200941,10/11/2009,Bay Area,Influenza_B,0
2009-2010,200941,10/11/2009,Bay Area,Influenza_Total,81
2009-2010,200941,10/11/2009,Bay Area,Influenza_Tested,309
2009-2010,200941,10/11/2009,California,Influenza_A,840
2009-2010,200941,10/11/2009,California,Influenza_AH3,0
2009-2010,200941,10/11/2009,California,Influenza_AH1,0
2009-2010,200941,10/11/2009,California,Influenza_AH1pdm09,0
2009-2010,200941,10/11/2009,California,Influenza_ANotSubtyped,840
2009-2010,200941,10/11/2009,California,Influenza_B,0
2009-2010,200941,10/11/2009,California,Influenza_Total,840
2009-2010,200941,10/11/2009,California,Influenza_Tested,1729
2009-2010,200941,10/11/2009,Central,Influenza_A,179
2009-2010,200941,10/11/2009,Central,Influenza_AH3,0
2009-2010,200941,10/11/2009,Central,Influenza_AH1,0
2009-2010,200941,10/11/2009,Central,Influenza_AH1pdm09,0
2009-2010,200941,10/11/2009,Central,Influenza_ANotSubtyped,179
2009-2010,200941,10/11/2009,Central,Influenza_B,0
2009-2010,200941,10/11/2009,Central,Influenza_Total,179
2009-2010,200941,10/11/2009,Central,Influenza_Tested,291
2009-2010,200941,10/11/2009,Lower Southern,Influenza_A,349
2009-2010,200941,10/11/2009,Lower Southern,Influenza_AH3,0
2009-2010,200941,10/11/2009,Lower Southern,Influenza_AH1,0
2009-2010,200941,10/11/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200941,10/11/2009,Lower Southern,Influenza_ANotSubtyped,349
2009-2010,200941,10/11/2009,Lower Southern,Influenza_B,0
2009-2010,200941,10/11/2009,Lower Southern,Influenza_Total,349
2009-2010,200941,10/11/2009,Lower Southern,Influenza_Tested,689
2009-2010,200941,10/11/2009,Northern,Influenza_A,93
2009-2010,200941,10/11/2009,Northern,Influenza_AH3,0
2009-2010,200941,10/11/2009,Northern,Influenza_AH1,0
2009-2010,200941,10/11/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200941,10/11/2009,Northern,Influenza_ANotSubtyped,93
2009-2010,200941,10/11/2009,Northern,Influenza_B,0
2009-2010,200941,10/11/2009,Northern,Influenza_Total,93
2009-2010,200941,10/11/2009,Northern,Influenza_Tested,176
2009-2010,200941,10/11/2009,Upper Southern,Influenza_A,138
2009-2010,200941,10/11/2009,Upper Southern,Influenza_AH3,0
2009-2010,200941,10/11/2009,Upper Southern,Influenza_AH1,0
2009-2010,200941,10/11/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200941,10/11/2009,Upper Southern,Influenza_ANotSubtyped,138
2009-2010,200941,10/11/2009,Upper Southern,Influenza_B,0
2009-2010,200941,10/11/2009,Upper Southern,Influenza_Total,138
2009-2010,200941,10/11/2009,Upper Southern,Influenza_Tested,264
2009-2010,200942,10/18/2009,Bay Area,Influenza_A,97
2009-2010,200942,10/18/2009,Bay Area,Influenza_AH3,0
2009-2010,200942,10/18/2009,Bay Area,Influenza_AH1,0
2009-2010,200942,10/18/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200942,10/18/2009,Bay Area,Influenza_ANotSubtyped,97
2009-2010,200942,10/18/2009,Bay Area,Influenza_B,0
2009-2010,200942,10/18/2009,Bay Area,Influenza_Total,97
2009-2010,200942,10/18/2009,Bay Area,Influenza_Tested,333
2009-2010,200942,10/18/2009,California,Influenza_A,876
2009-2010,200942,10/18/2009,California,Influenza_AH3,0
2009-2010,200942,10/18/2009,California,Influenza_AH1,0
2009-2010,200942,10/18/2009,California,Influenza_AH1pdm09,0
2009-2010,200942,10/18/2009,California,Influenza_ANotSubtyped,876
2009-2010,200942,10/18/2009,California,Influenza_B,1
2009-2010,200942,10/18/2009,California,Influenza_Total,877
2009-2010,200942,10/18/2009,California,Influenza_Tested,1912
2009-2010,200942,10/18/2009,Central,Influenza_A,137
2009-2010,200942,10/18/2009,Central,Influenza_AH3,0
2009-2010,200942,10/18/2009,Central,Influenza_AH1,0
2009-2010,200942,10/18/2009,Central,Influenza_AH1pdm09,0
2009-2010,200942,10/18/2009,Central,Influenza_ANotSubtyped,137
2009-2010,200942,10/18/2009,Central,Influenza_B,0
2009-2010,200942,10/18/2009,Central,Influenza_Total,137
2009-2010,200942,10/18/2009,Central,Influenza_Tested,322
2009-2010,200942,10/18/2009,Lower Southern,Influenza_A,376
2009-2010,200942,10/18/2009,Lower Southern,Influenza_AH3,0
2009-2010,200942,10/18/2009,Lower Southern,Influenza_AH1,0
2009-2010,200942,10/18/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200942,10/18/2009,Lower Southern,Influenza_ANotSubtyped,376
2009-2010,200942,10/18/2009,Lower Southern,Influenza_B,1
2009-2010,200942,10/18/2009,Lower Southern,Influenza_Total,377
2009-2010,200942,10/18/2009,Lower Southern,Influenza_Tested,777
2009-2010,200942,10/18/2009,Northern,Influenza_A,102
2009-2010,200942,10/18/2009,Northern,Influenza_AH3,0
2009-2010,200942,10/18/2009,Northern,Influenza_AH1,0
2009-2010,200942,10/18/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200942,10/18/2009,Northern,Influenza_ANotSubtyped,102
2009-2010,200942,10/18/2009,Northern,Influenza_B,0
2009-2010,200942,10/18/2009,Northern,Influenza_Total,102
2009-2010,200942,10/18/2009,Northern,Influenza_Tested,185
2009-2010,200942,10/18/2009,Upper Southern,Influenza_A,164
2009-2010,200942,10/18/2009,Upper Southern,Influenza_AH3,0
2009-2010,200942,10/18/2009,Upper Southern,Influenza_AH1,0
2009-2010,200942,10/18/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200942,10/18/2009,Upper Southern,Influenza_ANotSubtyped,164
2009-2010,200942,10/18/2009,Upper Southern,Influenza_B,0
2009-2010,200942,10/18/2009,Upper Southern,Influenza_Total,164
2009-2010,200942,10/18/2009,Upper Southern,Influenza_Tested,295
2009-2010,200943,10/25/2009,Bay Area,Influenza_A,100
2009-2010,200943,10/25/2009,Bay Area,Influenza_AH3,0
2009-2010,200943,10/25/2009,Bay Area,Influenza_AH1,0
2009-2010,200943,10/25/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200943,10/25/2009,Bay Area,Influenza_ANotSubtyped,100
2009-2010,200943,10/25/2009,Bay Area,Influenza_B,0
2009-2010,200943,10/25/2009,Bay Area,Influenza_Total,100
2009-2010,200943,10/25/2009,Bay Area,Influenza_Tested,386
2009-2010,200943,10/25/2009,California,Influenza_A,870
2009-2010,200943,10/25/2009,California,Influenza_AH3,0
2009-2010,200943,10/25/2009,California,Influenza_AH1,0
2009-2010,200943,10/25/2009,California,Influenza_AH1pdm09,0
2009-2010,200943,10/25/2009,California,Influenza_ANotSubtyped,870
2009-2010,200943,10/25/2009,California,Influenza_B,0
2009-2010,200943,10/25/2009,California,Influenza_Total,870
2009-2010,200943,10/25/2009,California,Influenza_Tested,1980
2009-2010,200943,10/25/2009,Central,Influenza_A,168
2009-2010,200943,10/25/2009,Central,Influenza_AH3,0
2009-2010,200943,10/25/2009,Central,Influenza_AH1,0
2009-2010,200943,10/25/2009,Central,Influenza_AH1pdm09,0
2009-2010,200943,10/25/2009,Central,Influenza_ANotSubtyped,168
2009-2010,200943,10/25/2009,Central,Influenza_B,0
2009-2010,200943,10/25/2009,Central,Influenza_Total,168
2009-2010,200943,10/25/2009,Central,Influenza_Tested,366
2009-2010,200943,10/25/2009,Lower Southern,Influenza_A,399
2009-2010,200943,10/25/2009,Lower Southern,Influenza_AH3,0
2009-2010,200943,10/25/2009,Lower Southern,Influenza_AH1,0
2009-2010,200943,10/25/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200943,10/25/2009,Lower Southern,Influenza_ANotSubtyped,399
2009-2010,200943,10/25/2009,Lower Southern,Influenza_B,0
2009-2010,200943,10/25/2009,Lower Southern,Influenza_Total,399
2009-2010,200943,10/25/2009,Lower Southern,Influenza_Tested,783
2009-2010,200943,10/25/2009,Northern,Influenza_A,82
2009-2010,200943,10/25/2009,Northern,Influenza_AH3,0
2009-2010,200943,10/25/2009,Northern,Influenza_AH1,0
2009-2010,200943,10/25/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200943,10/25/2009,Northern,Influenza_ANotSubtyped,82
2009-2010,200943,10/25/2009,Northern,Influenza_B,0
2009-2010,200943,10/25/2009,Northern,Influenza_Total,82
2009-2010,200943,10/25/2009,Northern,Influenza_Tested,173
2009-2010,200943,10/25/2009,Upper Southern,Influenza_A,121
2009-2010,200943,10/25/2009,Upper Southern,Influenza_AH3,0
2009-2010,200943,10/25/2009,Upper Southern,Influenza_AH1,0
2009-2010,200943,10/25/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200943,10/25/2009,Upper Southern,Influenza_ANotSubtyped,121
2009-2010,200943,10/25/2009,Upper Southern,Influenza_B,0
2009-2010,200943,10/25/2009,Upper Southern,Influenza_Total,121
2009-2010,200943,10/25/2009,Upper Southern,Influenza_Tested,272
2009-2010,200944,11/1/2009,Bay Area,Influenza_A,103
2009-2010,200944,11/1/2009,Bay Area,Influenza_AH3,0
2009-2010,200944,11/1/2009,Bay Area,Influenza_AH1,0
2009-2010,200944,11/1/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200944,11/1/2009,Bay Area,Influenza_ANotSubtyped,103
2009-2010,200944,11/1/2009,Bay Area,Influenza_B,0
2009-2010,200944,11/1/2009,Bay Area,Influenza_Total,103
2009-2010,200944,11/1/2009,Bay Area,Influenza_Tested,371
2009-2010,200944,11/1/2009,California,Influenza_A,852
2009-2010,200944,11/1/2009,California,Influenza_AH3,0
2009-2010,200944,11/1/2009,California,Influenza_AH1,2
2009-2010,200944,11/1/2009,California,Influenza_AH1pdm09,0
2009-2010,200944,11/1/2009,California,Influenza_ANotSubtyped,850
2009-2010,200944,11/1/2009,California,Influenza_B,0
2009-2010,200944,11/1/2009,California,Influenza_Total,852
2009-2010,200944,11/1/2009,California,Influenza_Tested,1869
2009-2010,200944,11/1/2009,Central,Influenza_A,161
2009-2010,200944,11/1/2009,Central,Influenza_AH3,0
2009-2010,200944,11/1/2009,Central,Influenza_AH1,2
2009-2010,200944,11/1/2009,Central,Influenza_AH1pdm09,0
2009-2010,200944,11/1/2009,Central,Influenza_ANotSubtyped,159
2009-2010,200944,11/1/2009,Central,Influenza_B,0
2009-2010,200944,11/1/2009,Central,Influenza_Total,161
2009-2010,200944,11/1/2009,Central,Influenza_Tested,378
2009-2010,200944,11/1/2009,Lower Southern,Influenza_A,474
2009-2010,200944,11/1/2009,Lower Southern,Influenza_AH3,0
2009-2010,200944,11/1/2009,Lower Southern,Influenza_AH1,0
2009-2010,200944,11/1/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200944,11/1/2009,Lower Southern,Influenza_ANotSubtyped,474
2009-2010,200944,11/1/2009,Lower Southern,Influenza_B,0
2009-2010,200944,11/1/2009,Lower Southern,Influenza_Total,474
2009-2010,200944,11/1/2009,Lower Southern,Influenza_Tested,813
2009-2010,200944,11/1/2009,Northern,Influenza_A,39
2009-2010,200944,11/1/2009,Northern,Influenza_AH3,0
2009-2010,200944,11/1/2009,Northern,Influenza_AH1,0
2009-2010,200944,11/1/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200944,11/1/2009,Northern,Influenza_ANotSubtyped,39
2009-2010,200944,11/1/2009,Northern,Influenza_B,0
2009-2010,200944,11/1/2009,Northern,Influenza_Total,39
2009-2010,200944,11/1/2009,Northern,Influenza_Tested,134
2009-2010,200944,11/1/2009,Upper Southern,Influenza_A,75
2009-2010,200944,11/1/2009,Upper Southern,Influenza_AH3,0
2009-2010,200944,11/1/2009,Upper Southern,Influenza_AH1,0
2009-2010,200944,11/1/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200944,11/1/2009,Upper Southern,Influenza_ANotSubtyped,75
2009-2010,200944,11/1/2009,Upper Southern,Influenza_B,0
2009-2010,200944,11/1/2009,Upper Southern,Influenza_Total,75
2009-2010,200944,11/1/2009,Upper Southern,Influenza_Tested,173
2009-2010,200945,11/8/2009,Bay Area,Influenza_A,100
2009-2010,200945,11/8/2009,Bay Area,Influenza_AH3,0
2009-2010,200945,11/8/2009,Bay Area,Influenza_AH1,0
2009-2010,200945,11/8/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200945,11/8/2009,Bay Area,Influenza_ANotSubtyped,100
2009-2010,200945,11/8/2009,Bay Area,Influenza_B,0
2009-2010,200945,11/8/2009,Bay Area,Influenza_Total,100
2009-2010,200945,11/8/2009,Bay Area,Influenza_Tested,413
2009-2010,200945,11/8/2009,California,Influenza_A,645
2009-2010,200945,11/8/2009,California,Influenza_AH3,0
2009-2010,200945,11/8/2009,California,Influenza_AH1,0
2009-2010,200945,11/8/2009,California,Influenza_AH1pdm09,0
2009-2010,200945,11/8/2009,California,Influenza_ANotSubtyped,645
2009-2010,200945,11/8/2009,California,Influenza_B,0
2009-2010,200945,11/8/2009,California,Influenza_Total,645
2009-2010,200945,11/8/2009,California,Influenza_Tested,1796
2009-2010,200945,11/8/2009,Central,Influenza_A,64
2009-2010,200945,11/8/2009,Central,Influenza_AH3,0
2009-2010,200945,11/8/2009,Central,Influenza_AH1,0
2009-2010,200945,11/8/2009,Central,Influenza_AH1pdm09,0
2009-2010,200945,11/8/2009,Central,Influenza_ANotSubtyped,64
2009-2010,200945,11/8/2009,Central,Influenza_B,0
2009-2010,200945,11/8/2009,Central,Influenza_Total,64
2009-2010,200945,11/8/2009,Central,Influenza_Tested,276
2009-2010,200945,11/8/2009,Lower Southern,Influenza_A,348
2009-2010,200945,11/8/2009,Lower Southern,Influenza_AH3,0
2009-2010,200945,11/8/2009,Lower Southern,Influenza_AH1,0
2009-2010,200945,11/8/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200945,11/8/2009,Lower Southern,Influenza_ANotSubtyped,348
2009-2010,200945,11/8/2009,Lower Southern,Influenza_B,0
2009-2010,200945,11/8/2009,Lower Southern,Influenza_Total,348
2009-2010,200945,11/8/2009,Lower Southern,Influenza_Tested,702
2009-2010,200945,11/8/2009,Northern,Influenza_A,34
2009-2010,200945,11/8/2009,Northern,Influenza_AH3,0
2009-2010,200945,11/8/2009,Northern,Influenza_AH1,0
2009-2010,200945,11/8/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200945,11/8/2009,Northern,Influenza_ANotSubtyped,34
2009-2010,200945,11/8/2009,Northern,Influenza_B,0
2009-2010,200945,11/8/2009,Northern,Influenza_Total,34
2009-2010,200945,11/8/2009,Northern,Influenza_Tested,109
2009-2010,200945,11/8/2009,Upper Southern,Influenza_A,99
2009-2010,200945,11/8/2009,Upper Southern,Influenza_AH3,0
2009-2010,200945,11/8/2009,Upper Southern,Influenza_AH1,0
2009-2010,200945,11/8/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200945,11/8/2009,Upper Southern,Influenza_ANotSubtyped,99
2009-2010,200945,11/8/2009,Upper Southern,Influenza_B,0
2009-2010,200945,11/8/2009,Upper Southern,Influenza_Total,99
2009-2010,200945,11/8/2009,Upper Southern,Influenza_Tested,296
2009-2010,200946,11/15/2009,Bay Area,Influenza_A,75
2009-2010,200946,11/15/2009,Bay Area,Influenza_AH3,0
2009-2010,200946,11/15/2009,Bay Area,Influenza_AH1,0
2009-2010,200946,11/15/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200946,11/15/2009,Bay Area,Influenza_ANotSubtyped,75
2009-2010,200946,11/15/2009,Bay Area,Influenza_B,0
2009-2010,200946,11/15/2009,Bay Area,Influenza_Total,75
2009-2010,200946,11/15/2009,Bay Area,Influenza_Tested,345
2009-2010,200946,11/15/2009,California,Influenza_A,467
2009-2010,200946,11/15/2009,California,Influenza_AH3,0
2009-2010,200946,11/15/2009,California,Influenza_AH1,0
2009-2010,200946,11/15/2009,California,Influenza_AH1pdm09,0
2009-2010,200946,11/15/2009,California,Influenza_ANotSubtyped,467
2009-2010,200946,11/15/2009,California,Influenza_B,0
2009-2010,200946,11/15/2009,California,Influenza_Total,467
2009-2010,200946,11/15/2009,California,Influenza_Tested,1432
2009-2010,200946,11/15/2009,Central,Influenza_A,80
2009-2010,200946,11/15/2009,Central,Influenza_AH3,0
2009-2010,200946,11/15/2009,Central,Influenza_AH1,0
2009-2010,200946,11/15/2009,Central,Influenza_AH1pdm09,0
2009-2010,200946,11/15/2009,Central,Influenza_ANotSubtyped,80
2009-2010,200946,11/15/2009,Central,Influenza_B,0
2009-2010,200946,11/15/2009,Central,Influenza_Total,80
2009-2010,200946,11/15/2009,Central,Influenza_Tested,264
2009-2010,200946,11/15/2009,Lower Southern,Influenza_A,209
2009-2010,200946,11/15/2009,Lower Southern,Influenza_AH3,0
2009-2010,200946,11/15/2009,Lower Southern,Influenza_AH1,0
2009-2010,200946,11/15/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200946,11/15/2009,Lower Southern,Influenza_ANotSubtyped,209
2009-2010,200946,11/15/2009,Lower Southern,Influenza_B,0
2009-2010,200946,11/15/2009,Lower Southern,Influenza_Total,209
2009-2010,200946,11/15/2009,Lower Southern,Influenza_Tested,532
2009-2010,200946,11/15/2009,Northern,Influenza_A,38
2009-2010,200946,11/15/2009,Northern,Influenza_AH3,0
2009-2010,200946,11/15/2009,Northern,Influenza_AH1,0
2009-2010,200946,11/15/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200946,11/15/2009,Northern,Influenza_ANotSubtyped,38
2009-2010,200946,11/15/2009,Northern,Influenza_B,0
2009-2010,200946,11/15/2009,Northern,Influenza_Total,38
2009-2010,200946,11/15/2009,Northern,Influenza_Tested,112
2009-2010,200946,11/15/2009,Upper Southern,Influenza_A,65
2009-2010,200946,11/15/2009,Upper Southern,Influenza_AH3,0
2009-2010,200946,11/15/2009,Upper Southern,Influenza_AH1,0
2009-2010,200946,11/15/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200946,11/15/2009,Upper Southern,Influenza_ANotSubtyped,65
2009-2010,200946,11/15/2009,Upper Southern,Influenza_B,0
2009-2010,200946,11/15/2009,Upper Southern,Influenza_Total,65
2009-2010,200946,11/15/2009,Upper Southern,Influenza_Tested,179
2009-2010,200947,11/22/2009,Bay Area,Influenza_A,34
2009-2010,200947,11/22/2009,Bay Area,Influenza_AH3,0
2009-2010,200947,11/22/2009,Bay Area,Influenza_AH1,0
2009-2010,200947,11/22/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200947,11/22/2009,Bay Area,Influenza_ANotSubtyped,34
2009-2010,200947,11/22/2009,Bay Area,Influenza_B,0
2009-2010,200947,11/22/2009,Bay Area,Influenza_Total,34
2009-2010,200947,11/22/2009,Bay Area,Influenza_Tested,188
2009-2010,200947,11/22/2009,California,Influenza_A,217
2009-2010,200947,11/22/2009,California,Influenza_AH3,0
2009-2010,200947,11/22/2009,California,Influenza_AH1,0
2009-2010,200947,11/22/2009,California,Influenza_AH1pdm09,0
2009-2010,200947,11/22/2009,California,Influenza_ANotSubtyped,217
2009-2010,200947,11/22/2009,California,Influenza_B,0
2009-2010,200947,11/22/2009,California,Influenza_Total,217
2009-2010,200947,11/22/2009,California,Influenza_Tested,938
2009-2010,200947,11/22/2009,Central,Influenza_A,16
2009-2010,200947,11/22/2009,Central,Influenza_AH3,0
2009-2010,200947,11/22/2009,Central,Influenza_AH1,0
2009-2010,200947,11/22/2009,Central,Influenza_AH1pdm09,0
2009-2010,200947,11/22/2009,Central,Influenza_ANotSubtyped,16
2009-2010,200947,11/22/2009,Central,Influenza_B,0
2009-2010,200947,11/22/2009,Central,Influenza_Total,16
2009-2010,200947,11/22/2009,Central,Influenza_Tested,164
2009-2010,200947,11/22/2009,Lower Southern,Influenza_A,136
2009-2010,200947,11/22/2009,Lower Southern,Influenza_AH3,0
2009-2010,200947,11/22/2009,Lower Southern,Influenza_AH1,0
2009-2010,200947,11/22/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200947,11/22/2009,Lower Southern,Influenza_ANotSubtyped,136
2009-2010,200947,11/22/2009,Lower Southern,Influenza_B,0
2009-2010,200947,11/22/2009,Lower Southern,Influenza_Total,136
2009-2010,200947,11/22/2009,Lower Southern,Influenza_Tested,338
2009-2010,200947,11/22/2009,Northern,Influenza_A,11
2009-2010,200947,11/22/2009,Northern,Influenza_AH3,0
2009-2010,200947,11/22/2009,Northern,Influenza_AH1,0
2009-2010,200947,11/22/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200947,11/22/2009,Northern,Influenza_ANotSubtyped,11
2009-2010,200947,11/22/2009,Northern,Influenza_B,0
2009-2010,200947,11/22/2009,Northern,Influenza_Total,11
2009-2010,200947,11/22/2009,Northern,Influenza_Tested,57
2009-2010,200947,11/22/2009,Upper Southern,Influenza_A,20
2009-2010,200947,11/22/2009,Upper Southern,Influenza_AH3,0
2009-2010,200947,11/22/2009,Upper Southern,Influenza_AH1,0
2009-2010,200947,11/22/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200947,11/22/2009,Upper Southern,Influenza_ANotSubtyped,20
2009-2010,200947,11/22/2009,Upper Southern,Influenza_B,0
2009-2010,200947,11/22/2009,Upper Southern,Influenza_Total,20
2009-2010,200947,11/22/2009,Upper Southern,Influenza_Tested,191
2009-2010,200948,11/29/2009,Bay Area,Influenza_A,27
2009-2010,200948,11/29/2009,Bay Area,Influenza_AH3,0
2009-2010,200948,11/29/2009,Bay Area,Influenza_AH1,0
2009-2010,200948,11/29/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200948,11/29/2009,Bay Area,Influenza_ANotSubtyped,27
2009-2010,200948,11/29/2009,Bay Area,Influenza_B,0
2009-2010,200948,11/29/2009,Bay Area,Influenza_Total,27
2009-2010,200948,11/29/2009,Bay Area,Influenza_Tested,140
2009-2010,200948,11/29/2009,California,Influenza_A,198
2009-2010,200948,11/29/2009,California,Influenza_AH3,0
2009-2010,200948,11/29/2009,California,Influenza_AH1,1
2009-2010,200948,11/29/2009,California,Influenza_AH1pdm09,0
2009-2010,200948,11/29/2009,California,Influenza_ANotSubtyped,197
2009-2010,200948,11/29/2009,California,Influenza_B,0
2009-2010,200948,11/29/2009,California,Influenza_Total,198
2009-2010,200948,11/29/2009,California,Influenza_Tested,950
2009-2010,200948,11/29/2009,Central,Influenza_A,36
2009-2010,200948,11/29/2009,Central,Influenza_AH3,0
2009-2010,200948,11/29/2009,Central,Influenza_AH1,0
2009-2010,200948,11/29/2009,Central,Influenza_AH1pdm09,0
2009-2010,200948,11/29/2009,Central,Influenza_ANotSubtyped,36
2009-2010,200948,11/29/2009,Central,Influenza_B,0
2009-2010,200948,11/29/2009,Central,Influenza_Total,36
2009-2010,200948,11/29/2009,Central,Influenza_Tested,262
2009-2010,200948,11/29/2009,Lower Southern,Influenza_A,86
2009-2010,200948,11/29/2009,Lower Southern,Influenza_AH3,0
2009-2010,200948,11/29/2009,Lower Southern,Influenza_AH1,0
2009-2010,200948,11/29/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200948,11/29/2009,Lower Southern,Influenza_ANotSubtyped,86
2009-2010,200948,11/29/2009,Lower Southern,Influenza_B,0
2009-2010,200948,11/29/2009,Lower Southern,Influenza_Total,86
2009-2010,200948,11/29/2009,Lower Southern,Influenza_Tested,333
2009-2010,200948,11/29/2009,Northern,Influenza_A,21
2009-2010,200948,11/29/2009,Northern,Influenza_AH3,0
2009-2010,200948,11/29/2009,Northern,Influenza_AH1,0
2009-2010,200948,11/29/2009,Northern,Influenza_AH1pdm09,0
2009-2010,200948,11/29/2009,Northern,Influenza_ANotSubtyped,21
2009-2010,200948,11/29/2009,Northern,Influenza_B,0
2009-2010,200948,11/29/2009,Northern,Influenza_Total,21
2009-2010,200948,11/29/2009,Northern,Influenza_Tested,94
2009-2010,200948,11/29/2009,Upper Southern,Influenza_A,28
2009-2010,200948,11/29/2009,Upper Southern,Influenza_AH3,0
2009-2010,200948,11/29/2009,Upper Southern,Influenza_AH1,1
2009-2010,200948,11/29/2009,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200948,11/29/2009,Upper Southern,Influenza_ANotSubtyped,27
2009-2010,200948,11/29/2009,Upper Southern,Influenza_B,0
2009-2010,200948,11/29/2009,Upper Southern,Influenza_Total,28
